year,month,date_full,date_short,group,unit,inflation_deflator,real_total_wealth,real_wealth_share,real_wealth_per_unit_growth,real_wealth_per_unit,real_wealth_growth_rate_per_unit_to_previous_period,real_wealth_growth_factor_per_unit_indexed,real_wealth_growth_rate_per_unit_indexed,variance_real_wealth
1977,8,01/08/1977,Aug-77,Top 1%,adult,0.25608951,4.38E+12,0.224360941,0.044824899,2975078.76,0.044824899,1.044824899,0.044824899,21251475806
1977,8,01/08/1977,Aug-77,Top 10%-1%,adult,0.25608951,8.39E+12,0.429990111,0.055367307,633529.9822,0.055367307,1.055367307,0.055367307,963665932.3
1977,8,01/08/1977,Aug-77,Middle 40%,adult,0.25608951,6.55E+12,0.33545853,0.045278401,111206.4721,0.045278401,1.045278401,0.045278401,29692877.54
1977,8,01/08/1977,Aug-77,Bottom 50%,adult,0.25608951,1.99E+11,0.010190411,0.072166631,2702.544764,0.072166631,1.072166631,0.072166631,17536.29943
1977,9,01/09/1977,Sep-77,Top 1%,adult,0.25759926,4.38E+12,0.22414182,0.043096021,2970155.881,0.043096021,1.043096021,0.043096021,21181204125
1977,9,01/09/1977,Sep-77,Top 10%-1%,adult,0.25759926,8.41E+12,0.430711475,0.056420316,634162.0967,0.056420316,1.056420316,0.056420316,965589917.2
1977,9,01/09/1977,Sep-77,Middle 40%,adult,0.25759926,6.55E+12,0.335118953,0.04351155,111018.498,0.04351155,1.04351155,0.04351155,29592581.64
1977,9,01/09/1977,Sep-77,Bottom 50%,adult,0.25759926,1.96E+11,0.010027746,0.05433611,2657.600462,0.05433611,1.05433611,0.05433611,16957.87936
1977,10,01/10/1977,Oct-77,Top 1%,adult,0.25989339,4.37E+12,0.223958429,0.039305719,2959363.215,0.039305719,1.039305719,0.039305719,21027551357
1977,10,01/10/1977,Oct-77,Top 10%-1%,adult,0.25989339,8.42E+12,0.431372001,0.055059049,633344.9372,0.055059049,1.055059049,0.055059049,963103068.6
1977,10,01/10/1977,Oct-77,Middle 40%,adult,0.25989339,6.53E+12,0.334819737,0.039642037,110606.8231,0.039642037,1.039642037,0.039642037,29373520.22
1977,10,01/10/1977,Oct-77,Bottom 50%,adult,0.25989339,1.92E+11,0.009849846,0.032713054,2603.096547,0.032713054,1.032713054,0.032713054,16269.44403
1977,11,01/11/1977,Nov-77,Top 1%,adult,0.26198095,4.37E+12,0.223754251,0.036613155,2951696.291,0.036613155,1.036613155,0.036613155,20918738896
1977,11,01/11/1977,Nov-77,Top 10%-1%,adult,0.26198095,8.43E+12,0.431950534,0.054698538,633128.5248,0.054698538,1.054698538,0.054698538,962445001.2
1977,11,01/11/1977,Nov-77,Middle 40%,adult,0.26198095,6.53E+12,0.33453134,0.037000836,110325.8275,0.037000836,1.037000836,0.037000836,29224463.48
1977,11,01/11/1977,Nov-77,Bottom 50%,adult,0.26198095,1.90E+11,0.009763884,0.021979899,2576.042142,0.021979899,1.021979899,0.021979899,15933.01947
